Date;Total value in rubles;Total value in dollars;As pc of gdp;Liquid part in rubles;Liquid part in dollars;Dollars (in dollars);Euros (in euros);Sterlings (in sterlings);Yens (in yen);Yuan (in yuan);Gold (in T);Rubles;Deposits CBR;Link;Note;;
Sep 1, 22;11.8699 tr;196.627 bn;8.9;8.289863 tr;137.323 bn;0 bn;49.189 bn;5.3148 bn;768.258 bn;309.7201 bn;554.911;4.512 bn;;"https://tass.com/economy/1518849 (say 7.5tr liquid assets) ; https://www.interfax.ru/business/861404";Disagreement on the level of liquid assets;;
Aug 1, 22;12.155885 tr;198.269 bn;9.1;8.66364 tr;141.309 bn;0 bn;50.0097 bn;5.4013 bn;782.313 bn;309.7201 bn;554.911;0.2566 bn;;https://www.interfax.ru/business/855722;;;
Jul 1, 22;10.774982 tr;210.622 bn;8.1;7.42724 tr;145.182 bn;0 bn;50.8724 bn;5.4918 bn;797.199 bn;309.7201 bn;554.911;0.3194;;https://www.interfax.ru/business/850584;;;
Jun 1, 22;12.475932 tr;197.725 bn;9.4;9.22967 tr;146.3 bn;0 bn;51.5852 bn;5.5669 bn;809.814 bn;306.7201 bn;554.910;0.2528;;"https://www.interfax.ru/business/844853; https://minfin.gov.ru/ru/press-center/?id_4=37955-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya";14,823.8 million euros, 1,577.8 million pounds sterling, 240,333.7 million Japanese yen, 82,943.3 million Chinese yuan, as well as 149,202.2 kg. gold in impersonal form, purchased from federal budget funds within the volume of additional oil and gas revenues of the federal budget for 2021, are credited to the accounts for accounting funds of the National Welfare Fund;;
May 1, 22;11.005374 tr;154.954 bn;8.3;7.876 tr;119.889 bn;0 bn;38.5616 bn;4.1787 bn;600.304 bn;226.7768 bn;405.7084 t;92.786 bn;;https://www.interfax.ru/business/841057;;;
Apr 1, 22;13.052295 tr;155.227 bn;9.8;9.693 tr;115.282 bn;0 bn;38.5616 bn;4.1787 bn;600.304 bn;226.7768 bn;405.7084 t;99.033 bn;;https://www.interfax.ru/business/834248;;;
Mar 1, 22;12.9351 tr;154.82 bn;9.7;9.738 tr;116.556 bn;0 bn;38.5616 bn;4.1787 bn;600.304 bn;226.7768 bn;405.7084;0.14204 bn;;https://www.interfax.ru/business/830937;;;
Feb 1, 22;13.61027 tr;174.9 bn;10.2;8.769 tr;112.698 bn;0 bn;38.5616 bn;4.1787 bn;600.304 bn;226.7768 bn;405.7084;0.2661 bn;;https://minfin.gov.ru/ru/press-center/?id_4=37768-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Jan 1, 22;13.56535 tr;182.594 bn;11.7;8.433 tr;113.5 bn;0 bn;38.5616 bn;4.1787 bn;600.304 bn;226.7239;405.7084;0.3646 bn;;https://www.interfax.ru/business/815999;;;
Dec 1, 21;13.88633 tr;185.196 bn;12.0;8.492 tr;113.25 bn;0 bn;38.5616 bn;4.1787 bn;600.304 bn;226.7023;405.7084;0.2512 bn;;https://minfin.gov.ru/ru/press-center/?id_4=37711-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
